lambda,hbo,hbr,water_mua
486,24669.6,15543.6,
488,24174.8,15898,
490,23684.4,16684,
492,23086.8,17469.6,
494,22457.6,18255.6,
496,21850.4,19041.2,
498,21260,19891.2,
500,20932.8,20862,0.00025
502,20596.4,21832.8,
504,20418,22803.6,
506,19946,23774.4,
508,19996,24745.2,
510,20035.2,25773.6,
512,20150.4,26936.8,
514,20429.2,28100,
516,21001.6,29263.2,
518,22509.6,30426.4,
520,24202.4,31589.6,
522,26450.4,32851.2,
524,29269.2,34397.6,
525,,,0.00032
526,32496.4,35944,
528,35990,37490,
530,39956.8,39036.4,
532,43876,40584,
534,46924,42088,
536,49752,43592,
538,51712,45092,
540,53236,46592,
542,53292,48148,
544,52096,49708,
546,49868,51268,
548,46660,52496,
550,43016,53412,0.00045
552,39675.2,54080,
554,36815.2,54520,
556,34476.8,54540,
558,33456,54164,
560,32613.2,53788,
562,32620,52276,
564,33915.6,50572,
566,36495.2,48828,
568,40172,46948,
570,44496,45072,
572,49172,43340,
574,53308,41716,
575,,,0.00079
576,55540,40092,
578,54728,38467.6,
580,50104,37020,
582,43304,35676.4,
584,34639.6,34332.8,
586,26600.4,32851.6,
588,19763.2,31075.2,
590,14400.8,28324.4,
592,10468.4,25470,
594,7678.8,22574.8,
596,5683.6,19800,
598,4504.4,17058.4,
600,3200,14677.2,0.0023
602,2664,13622.4,
604,2128,12567.6,
606,1789.2,11513.2,
608,1647.6,10477.6,
610,1506,9443.6,
612,1364.4,8591.2,
614,1222.8,7762,
616,1110,7344.8,
618,1026,6927.2,
620,942,6509.6,
622,858,6193.2,
624,774,5906.8,
625,,,0.0028
626,707.6,5620,
628,658.8,5366.8,
630,610,5148.8,
632,561.2,4930.8,
634,512.4,4730.8,
636,478.8,4602.4,
638,460.4,4473.6,
640,442,4345.2,
642,423.6,4216.8,
644,405.2,4088.4,
646,390.4,3965.08,
648,379.2,3857.6,
650,368,3750.12,0.0032
652,356.8,3642.64,
654,345.6,3535.16,
656,335.2,3427.68,
658,325.6,3320.2,
660,319.6,3226.56,
662,314,3140.28,
664,308.4,3053.96,
666,302.8,2967.68,
668,298,2881.4,
670,294,2795.12,
672,290,2708.84,
674,285.6,2627.64,
675,,,0.00415
676,282,2554.4,
678,279.2,2481.16,
680,277.6,2407.92,
682,276,2334.68,
684,274.4,2261.48,
686,272.8,2188.24,
688,274.4,2115,
690,276,2051.96,
692,277.6,2000.48,
694,279.2,1949.04,
696,282,1897.56,
698,286,1846.08,
700,290,1794.28,0.006
702,294,1741,
704,298,1687.76,
706,302.8,1634.48,
708,308.4,1583.52,
710,314,1540.48,
712,319.6,1497.4,
714,325.2,1454.36,
716,332,1411.32,
718,340,1368.28,
720,348,1325.88,
722,356,1285.16,
724,364,1244.44,
725,,,0.0159
726,372.4,1203.68,
728,381.2,1152.8,
730,390,1102.2,
732,398.8,1102.2,
734,407.6,1102.2,
736,418.8,1101.76,
738,432.4,1100.48,
740,446,1115.88,
742,459.6,1161.64,
744,473.2,1207.4,
746,487.6,1266.04,
748,502.8,1333.24,
750,518,1405.24,0.026
752,533.2,1515.32,
754,548.4,1541.76,
756,562,1560.48,
758,574,1560.48,
760,586,1548.52,
762,598,1508.44,
764,610,1459.56,
766,622.8,1410.52,
768,636.4,1361.32,
770,650,1311.88,
772,663.6,1262.44,
774,677.2,1213,
775,,,0.024
776,689.2,1163.56,
778,699.6,1114.8,
780,710,1075.44,
782,720.4,1036.08,
784,730.8,996.72,
786,740,957.36,
788,748,921.8,
790,756,890.8,
792,764,859.8,
794,772,828.8,
796,786.4,802.96,
798,807.2,782.36,
800,816,761.72,0.02
802,828,743.84,
804,836,737.08,
806,844,730.28,
808,856,723.52,
810,864,717.08,0.019858
812,872,711.84,
814,880,706.6,
816,887.2,701.32,
818,901.6,696.08,
820,916,693.76,0.023907
822,930.4,693.6,
824,944.8,693.48,
825,,,0.028
826,956.4,693.32,
828,965.2,693.2,
830,974,693.04,0.029069
832,982.8,692.92,
834,991.6,692.76,
836,1001.2,692.64,
838,1011.6,692.48,
840,1022,692.36,0.034707
842,1032.4,692.2,
844,1042.8,691.96,
846,1050,691.76,
848,1054,691.52,
850,1058,691.32,0.043
852,1062,691.08,
854,1066,690.88,
856,1072.8,690.64,
858,1082.4,692.44,
860,1092,694.32,0.046759
862,1101.6,696.2,
864,1111.2,698.04,
866,1118.4,699.92,
868,1123.2,701.8,
870,1128,705.84,0.051999
872,1132.8,709.96,
874,1137.6,714.08,
875,,,0.056
876,1142.8,718.2,
878,1148.4,722.32,
880,1154,726.44,0.055978
882,1159.6,729.84,
884,1165.2,733.2,
886,1170,736.6,
888,1174,739.96,
890,1178,743.6,0.060432
892,1182,747.24,
894,1186,750.88,
896,1190,754.52,
898,1194,758.16,
900,1198,761.84,0.068
902,1202,765.04,
904,1206,767.44,
906,1209.2,769.8,
908,1211.6,772.16,
910,1214,774.56,0.072913
912,1216.4,776.92,
914,1218.8,778.4,
916,1220.8,778.04,
918,1222.4,777.72,
920,1224,777.36,0.10927
922,1225.6,777.04,
924,1227.2,776.64,
925,,,0.144
926,1226.8,772.36,
928,1224.4,768.08,
930,1222,763.84,0.17296
932,1219.6,752.28,
934,1217.2,737.56,
936,1215.6,722.88,
938,1214.8,708.16,
940,1214,693.44,0.26737
942,1213.2,678.72,
944,1212.4,660.52,
946,1210.4,641.08,
948,1207.2,621.64,
950,1204,602.24,0.39
952,1200.8,583.4,
954,1197.6,568.92,
956,1194,554.48,
958,1190,540.04,
960,1186,525.56,0.42
962,1182,511.12,
964,1178,495.36,
966,1173.2,473.32,
968,1167.6,451.32,
970,1162,429.32,0.45
972,1156.4,415.28,
974,1150.8,402.28,
975,,,0.45
976,1144,389.288,
978,1136,374.944,
980,1128,359.656,0.43
982,1120,344.372,
984,1112,329.084,
986,1102.4,313.796,
988,1091.2,298.508,
990,1080,283.22,0.41
992,1068.8,267.932,
994,1057.6,252.648,
996,1046.4,237.36,
998,1035.2,222.072,
1000,1024,206.784,0.36
1020,,,0.27
1040,,,0.16
1060,,,0.12
1080,,,0.13
1100,,,0.17
1120,,,0.52
1140,,,0.66
1160,,,0.89
1180,,,1.04
1200,,,1.04
1220,,,0.95
1240,,,0.88
1260,,,0.89
1280,,,0.98
1300,,,1.11
1320,,,1.38
1340,,,1.83
1360,,,2.77
1380,,,6.1
1400,,,12.39
1420,,,22.12
1440,,,28.8
1460,,,28.4
1480,,,21.23
1500,,,17.59
1520,,,14.05
1540,,,11.83
1560,,,9.67
1580,,,7.95
1600,,,6.72
1620,,,5.82
1640,,,4.98
1660,,,4.54
1680,,,4.49
1700,,,4.44
1720,,,5.11
1740,,,6.14
1760,,,7.14
1780,,,8.12
1800,,,8.03
1820,,,8.98
1840,,,10.24
1860,,,14.19
1880,,,31.08
1900,,,66.14
1920,,,114.54
1940,,,119.83
1960,,,105.79
1980,,,92.03
2000,,,69.12
2020,,,55.99
2040,,,44.97
2060,,,39.04
2080,,,31.42
2100,,,26.93
2120,,,24.01
2140,,,20.55
2160,,,18.62
2180,,,17.29
2200,,,16.51
2220,,,16.13
2240,,,16.55
2260,,,17.24
2280,,,19.84
2300,,,22.4
2320,,,26.81
2340,,,31.95
2360,,,37.27
2380,,,43.3
2400,,,50.06
2420,,,59.72
2440,,,66.95
2460,,,76.62
2480,,,86.14
2500,,,90.48
2520,,,102.23
2540,,,108.84
2560,,,115.36
2580,,,131.51
2600,,,153.21
2650,,,317.72
2700,,,884.3
2750,,,2696.1
2800,,,5161.2
2850,,,8157.1
2900,,,11613
2950,,,12694
3000,,,11394
3050,,,9888.3
3100,,,7783.1
3150,,,5385.6
3200,,,3628.6
3250,,,2358.6
3300,,,1401.3
3350,,,979.05
3400,,,720.72
3450,,,480.8
3500,,,337.5
3600,,,179.77
3700,,,122.27
3800,,,112.44
3900,,,122.44
4000,,,144.51
4100,,,172
4200,,,206
4300,,,247
4400,,,294
4500,,,374
4600,,,402
4700,,,420
4800,,,393
4900,,,351
5000,,,312
5100,,,274
5200,,,244
5300,,,232
5400,,,240
5500,,,265
5600,,,319
5700,,,448
5800,,,715
5900,,,1325
6000,,,2241
6100,,,2699
6200,,,1784
6300,,,1137
6400,,,881
6500,,,758
6600,,,678
6700,,,632
6800,,,604
6900,,,586
7000,,,574
7100,,,566
7200,,,560
7300,,,554
7400,,,550
7500,,,546
7600,,,542
7700,,,540
7800,,,540
7900,,,539
8000,,,539
8200,,,538
8400,,,540
8600,,,453
8800,,,550
9000,,,557
9200,,,567
9400,,,579
9600,,,594
9800,,,614
10000,,,638
10500,,,792
11000,,,1106
11500,,,1552
12000,,,2084
12500,,,2604
13000,,,2948
13500,,,3193
14000,,,3321
14500,,,3363
15000,,,3368
15500,,,3356
16000,,,3314
16500,,,3260
17000,,,3171
17500,,,3081
18000,,,2974
18500,,,2860
19000,,,2738
19500,,,2604
20000,,,2469
30000,,,1374
38000,,,1194
50000,,,1292
60000,,,1229
70000,,,1034
80000,,,859
90000,,,748
1.00E+05,,,669
2.00E+05,,,317
